Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector
011790,SKC,KOSPI,3764108821200,139889,-16663.0,-16663.0,1721564345604.0,-24933880085.0,123165366343.0,-578220907942.0,,1520451642691.0,2211034562287.0,,,2024.0,CFS,에너지/화학
012510,더존비즈온,KOSPI,3626102026000,172291,2170.0,2170.0,402332391243.0,183993970188.0,88064046059.0,78026871531.0,1037613249183.0,215914131430.0,204315065486.0,482789066484.0,554824182699.0,2024.0,CFS,IT/전자
036460,한국가스공사,KOSPI,3480200100000,261285,13174.0,12422.0,84454000000.0,3412673000000.0,3003363000000.0,1148985000000.0,57669637000000.0,16968511000000.0,21266507000000.0,57669637000000.0,10826356000000.0,2024.0,CFS,에너지/화학
011780,금호석유화학,KOSPI,3433586769800,106368,13423.0,,7155003786012.0,585555234194.0,272804307588.0,348602013402.0,8340238952259.0,2710939308766.0,1534476881893.0,2298015880753.0,6042223071506.0,2024.0,CFS,에너지/화학
004990,롯데지주,KOSPI,3399059278800,120562,-14389.0,-14389.0,,4579230056405.0,340468760521.0,-946077909988.0,22660277693897.0,5016589922670.0,6577895941552.0,22660277693897.0,9199764345455.0,2024.0,CFS,지주
302440,SK바이오사이언스,KOSPI,3360926937850,1319899,-698.0,-698.0,267545049154.0,30975675732.0,-138431298006.0,-50117070464.0,2843596036892.0,1576672643818.0,310589417433.0,2843596036892.0,2022452177574.0,2024.0,CFS,바이오/제약
014680,한솔케미칼,KOSPI,3342837330000,140955,10980.0,10912.0,776356975793.0,204763800102.0,128825376120.0,124893890949.0,1464678817159.0,348048080154.0,272370414176.0,1464678817159.0,1071443703044.0,2024.0,CFS,에너지/화학
004170,신세계,KOSPI,3317942264000,136378,11776.0,11776.0,6570412728809.0,4052715965832.0,477024306786.0,186608863964.0,15071774121951.0,2342662811362.0,4947367431132.0,15071774121951.0,6374698444225.0,2024.0,CFS,유통/소비재
023530,롯데쇼핑,KOSPI,3210773692500,120526,-34674.0,-34674.0,,6735222104994.0,473113964780.0,-994075271502.0,39003044584713.0,5516937795010.0,9836042195532.0,21969427278570.0,17033617306143.0,2024.0,CFS,유통/소비재
097950,CJ제일제당,KOSPI,3191487432000,635134,9294.0,9294.0,29359081823000.0,6491694900000.0,1553017638000.0,361835555000.0,30149997467000.0,8546271600000.0,9956782579000.0,17907211781000.0,12242785686000.0,2024.0,CFS,유통/소비재
051600,한전KPS,KOSPI,3037500000000,159218,3832.0,3832.0,1557085808533.0,295354975574.0,209498645768.0,172441205945.0,1690214811558.0,1051206546951.0,347424669408.0,1690214811558.0,1328473540425.0,2024.0,CFS,소재/철강
009420,한올바이오파마,KOSPI,2951596047000,162586,-36.0,-36.0,138943698757.0,73306381983.0,230474890.0,-1804843479.0,212880605189.0,85353313757.0,34720482983.0,212880605189.0,168351403333.0,2024.0,CFS,바이오/제약
005850,에스엘,KOSPI,2930901612000,125521,7998.0,7998.0,4973273970111.0,688696386608.0,395164287548.0,381963573388.0,3698864220516.0,2346052089698.0,1142207374201.0,1301616145058.0,2397248075458.0,2024.0,CFS,자동차/부품
028670,팬오션,KOSPI,2849255498960,122737,502.0,502.0,5161218000000.0,582734000000.0,471180000000.0,268143000000.0,10271506000000.0,2021806000000.0,1276861000000.0,10271506000000.0,5653383000000.0,2024.0,CFS,운송/물류
112610,씨에스윈드,KOSPI,2787529738300,670340,3434.0,3409.0,3072529196695.0,404441400056.0,255481950329.0,143668438531.0,3609483010970.0,1828066183450.0,1480639888675.0,3609483010970.0,1200264992078.0,2024.0,CFS,에너지/화학
139480,이마트,KOSPI,2778898973300,872984,-22240.0,-22240.0,29020896860848.0,9041139596537.0,47098144142.0,-573430173306.0,33930639265588.0,10429147031287.0,10804132770697.0,33930639265588.0,13184076424361.0,2024.0,CFS,유통/소비재
457190,이수스페셜티케미컬,KOSPI,2755961126400,1762569,358.0,351.0,332069862904.0,46895678931.0,14206083843.0,10511891726.0,299546745134.0,140988568163.0,164100833549.0,299546745134.0,121654548291.0,2024.0,OFS,에너지/화학
336260,두산퓨얼셀,KOSPI,2744187119400,1412725,-128.0,,,36161964547.0,-1729039707.0,-10474726734.0,1179654638065.0,660567068897.0,365954063568.0,1179654638065.0,498895839831.0,2024.0,CFS,에너지/화학
071970,HD현대마린엔진,KOSPI,2727288198000,406046,2464.0,2464.0,315793988713.0,69600469181.0,33193655658.0,75775091634.0,494962962578.0,293886545654.0,180908739583.0,185588379579.0,309374582999.0,2024.0,CFS,방산/중공업
006360,GS건설,KOSPI,2721491382000,120030,2893.0,2893.0,12863811468386.0,1114179838862.0,285954335787.0,263924031753.0,17803293924556.0,8666549605548.0,9031905115658.0,17803293924556.0,5087123959443.0,2024.0,CFS,건설/부동산
008930,한미사이언스,KOSPI,2629655097500,161426,878.0,878.0,,,98867912225.0,56693106363.0,1349078932369.0,327964548355.0,468827139886.0,1349078932369.0,838703712282.0,2024.0,CFS,바이오/제약
026960,동서,KOSPI,2612140000000,144395,1594.0,1594.0,488860392545.0,85503328555.0,44476967156.0,159046264652.0,1779146551075.0,899754296790.0,59271554235.0,1779146551075.0,1709476549885.0,2024.0,CFS,유통/소비재
