Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,per_group,sector_median_per,fair_price_market,gap_market,fair_price_sector,gap_sector,signal
007660,이수페타시스,KOSPI,9308288969200,107613,1171.0,,836866961285.0,156600343429.0,101878836049.0,74034111779.0,790136366426.0,522697354400.0,377363096552.0,790136366426.0,327526708412.0,2024.0,CFS,IT/전자,120200.0,102.64730999146029,일반,47.67864352038757,39900.257788491006,-0.6680510999293594,55831.69156237384,-0.5355100535576219,— 고평가
180640,한진칼,KOSPI,8679096270000,983040,7459.0,,,116726983000.0,49192742000.0,512176366000.0,4207157981000.0,539972243000.0,672904948000.0,4207157981000.0,3313160945000.0,2024.0,CFS,운송/물류,121300.0,16.262233543370424,일반,9.53266022607123,254155.44222404304,1.0952633324323418,71104.1126262653,-0.4138160541940206,⚠️ 주의
003230,삼양식품,KOSPI,8670500265000,126955,36468.0,36468.0,1728015003746.0,723217308822.0,344569150443.0,271255665463.0,1594782196967.0,676663603748.0,492425282678.0,1594782196967.0,828033342607.0,2024.0,CFS,유통/소비재,1203000.0,32.987824942415266,일반,20.4177545691906,1242598.2929382492,0.03291628673171171,744594.6736292428,-0.38105180911949893,⚠️ 주의
090430,아모레퍼시픽,KOSPI,8235780467200,583424,8606.0,8606.0,3885110699186.0,2746732498324.0,220481343913.0,601641373835.0,6783507800768.0,1734808826757.0,1095705144331.0,1457499911662.0,5326007889106.0,2024.0,CFS,유통/소비재,135700.0,15.768068789216825,일반,20.4177545691906,293237.932133009,1.1609280186662418,175715.1958224543,0.29487985130769556,🔥 강력
443060,HD현대마린솔루션,KOSPI,8190684904500,1194689,5304.0,5275.0,1745458578779.0,362176072235.0,271729951500.0,227940276635.0,1152227968481.0,1075525917500.0,342617751499.0,1152227968481.0,773534561558.0,2024.0,CFS,방산/중공업,179800.0,33.89894419306184,일반,42.05529677716929,180726.70137502672,0.005154067714275425,223061.2941061059,0.24060786488379252,🔥 강력
000100,유한양행,KOSPI,7988654380300,145109,943.0,943.0,2067791451854.0,689386389746.0,54880319609.0,55163455235.0,2942048836634.0,1360261256866.0,619136487792.0,791378826075.0,2150670010559.0,2024.0,CFS,바이오/제약,95600.0,101.37857900318133,일반,84.8314606741573,32131.46293300343,-0.663896831244734,79996.06741573033,-0.16322105213671204,— 고평가
047040,대우건설,KOSPI,7942548612180,124540,570.0,569.0,10503609086034.0,927546410982.0,403125613881.0,242849735359.0,12658456266814.0,9588714887380.0,4543987487164.0,8324364439243.0,4334091827571.0,2024.0,CFS,건설/부동산,16400.0,28.771929824561404,일반,26.209021212548798,19421.987138718934,0.1842675084584716,14939.142091152815,-0.08907670175897471,⚠️ 주의
326030,SK바이오팜,KOSPI,7721686450000,878696,3074.0,3074.0,547596283214.0,504495368894.0,96339659521.0,226973435375.0,1036810779623.0,651371301562.0,396276252761.0,462826530311.0,573984249312.0,2024.0,CFS,바이오/제약,95000.0,30.904359141184123,일반,84.8314606741573,104742.43590249475,0.10255195686836577,260771.91011235953,1.7449674748669424,🔥 강력
128940,한미약품,KOSPI,7174154960000,828497,9567.0,9567.0,1495501575568.0,817036996044.0,216186188006.0,140431062099.0,2020840493653.0,746306484262.0,682758544357.0,780088902015.0,1240751591638.0,2024.0,CFS,바이오/제약,511000.0,53.41277307410892,일반,84.8314606741573,325982.72097565624,-0.36206903918658273,811582.5842696629,0.5882242353613755,⚠️ 주의
011070,LG이노텍,KOSPI,7005463672000,105961,18985.0,18985.0,21200755000000.0,1743671000000.0,706043000000.0,0.0,11378212000000.0,5853122000000.0,3954861000000.0,6024347000000.0,5353865000000.0,2024.0,CFS,IT/전자,292000.0,15.38056360284435,일반,47.67864352038757,646888.466365928,1.2153714601572876,905179.0472345579,2.0999282439539653,🔥 강력
028050,삼성E&A,KOSPI,6918800000000,126308,3862.0,,9966551344477.0,1509174642168.0,971611686017.0,638672451980.0,10013337796132.0,7941890024257.0,5871110579495.0,10013337796132.0,3895741786193.0,2024.0,CFS,방산/중공업,33800.0,8.751941998964266,일반,42.05529677716929,131592.4812802325,2.893268676929955,162417.55615342778,3.805253140633958,🔥 강력
032640,LG유플러스,KOSPI,6799884576100,231363,871.0,871.0,,,863130000000.0,314602000000.0,19707730000000.0,5263896000000.0,5116288000000.0,10939351000000.0,8768379000000.0,2024.0,CFS,IT/전자,15270.0,17.531572904707232,일반,47.67864352038757,29678.159294428406,0.9435598752081471,41528.09850625757,1.7195873285040977,🔥 강력
052690,한전기술,KOSPI,6707610000000,159209,1538.0,1538.0,,167195010838.0,54806059056.0,58512128400.0,946846882988.0,575753925755.0,361039308185.0,946846882988.0,577473652879.0,2024.0,CFS,소재/철강,157800.0,102.60078023407021,일반,60.75709779179811,52405.291612894245,-0.6679005601210758,93444.4164037855,-0.4078300608125127,— 고평가
078930,GS,KOSPI,6411161082000,500254,5988.0,,25297467000000.0,6191104000000.0,3060163000000.0,863517000000.0,35063398000000.0,5706980000000.0,6060442000000.0,35063398000000.0,18470356000000.0,2024.0,CFS,지주,67700.0,11.305945223780896,일반,25.620485024187783,204033.08594148944,2.0137826579245117,153415.46432483644,1.2661073016962547,🔥 강력
267270,HD건설기계,KOSPI,6380557694000,1205842,5595.0,,3438062302000.0,650824965000.0,190421614000.0,85966730000.0,3324625332000.0,2112846135000.0,1063541773000.0,3324625332000.0,1793830435000.0,2024.0,CFS,건설/부동산,132300.0,23.646112600536192,일반,26.209021212548798,190642.13691426744,0.44098365014563445,146639.47368421053,0.1083860444762701,🔥 강력
001040,CJ,KOSPI,6039638586000,148540,2993.0,2993.0,43646656090000.0,12623822787000.0,2547483645000.0,151195776000.0,47496993224000.0,13697532273000.0,16904989037000.0,29750607288000.0,17746385936000.0,2024.0,CFS,지주,204000.0,68.15903775476112,일반,25.620485024187783,101982.46930909784,-0.5000859347593243,76682.11167739403,-0.6241072956990489,— 고평가
001440,대한전선,KOSPI,5723932110000,113207,409.0,409.0,3291299375000.0,263386194000.0,115169757000.0,74190402000.0,2642726208000.0,1775776357000.0,920138410000.0,2642726208000.0,1496112472000.0,2024.0,CFS,소재/철강,28950.0,70.78239608801955,일반,60.75709779179811,13936.127613572007,-0.5186138993584799,24849.652996845427,-0.14163547506578836,— 고평가
271560,오리온,KOSPI,5448078989600,1238169,13271.0,13271.0,3104338576129.0,1196174532214.0,543587778241.0,533229552422.0,4308449797008.0,1647381241517.0,537615043736.0,4308449797008.0,3574045867619.0,2024.0,CFS,유통/소비재,133400.0,10.051993067590988,일반,20.4177545691906,452191.5637156824,2.3897418569391484,270964.02088772843,1.0312145493832716,🔥 강력
022100,포스코DX,KOSPI,4925925219600,155212,580.0,580.0,1473290670631.0,187522952033.0,108991969223.0,88599060003.0,892453016139.0,676687634640.0,355027712350.0,892453016139.0,525897500876.0,2024.0,CFS,IT/전자,30700.0,52.93103448275862,일반,47.67864352038757,19762.723755187686,-0.3562630698635933,27653.613241824787,-0.09923083902850856,— 고평가
062040,산일전기,KOSPI,4862795840000,366438,3136.0,3061.0,333996550771.0,143563093705.0,109231906505.0,,492674198507.0,305188896644.0,52564399265.0,492674198507.0,434241887238.0,2024.0,OFS,소재/철강,152800.0,48.724489795918366,일반,60.75709779179811,106855.00292460101,-0.30068715363481013,190534.25867507886,0.24695195467983547,⚠️ 주의
251270,넷마블,KOSPI,4286527403300,904672,313.0,308.0,,,215627215188.0,3216188118.0,8177066253496.0,1114816595237.0,1348239156045.0,8177066253496.0,5473860209795.0,2024.0,CFS,엔터/미디어,51300.0,163.89776357827475,일반,27.697013518832733,10665.056095471977,-0.7921041696789088,8669.165231394645,-0.8310104243392856,— 고평가
082740,한화엔진,KOSPI,4093082315100,361008,968.0,968.0,,116340351068.0,71531721192.0,79159548487.0,1413101954226.0,785001242520.0,586563184908.0,1019806164340.0,393295789886.0,2024.0,OFS,방산/중공업,47150.0,48.70867768595041,일반,42.05529677716929,32983.30447417531,-0.30046013840561375,40709.52728029987,-0.136595391722166,— 고평가
353200,대덕전자,KOSPI,4091721390000,1478712,466.0,466.0,892135903752.0,61547000833.0,11259489061.0,23762727122.0,1088723750887.0,465866345845.0,159688137695.0,1088723750887.0,875513939249.0,2024.0,CFS,IT/전자,77600.0,166.5236051502146,일반,47.67864352038757,15878.3263274439,-0.7953823926875786,22218.247880500607,-0.7136823726739612,— 고평가
103590,일진전기,KOSPI,3938813214000,683469,983.0,982.0,1577247371000.0,155643123000.0,79742010000.0,0.0,1249038272000.0,702238015000.0,606533501000.0,1249038272000.0,500309704000.0,2024.0,CFS,소재/철강,77300.0,78.63682604272636,일반,60.75709779179811,33494.409398878444,-0.566695868061081,59724.227129337545,-0.22737092976277432,— 고평가
051900,LG생활건강,KOSPI,3909778274500,356370,11281.0,11281.0,6811918756741.0,3560832396845.0,459045912180.0,203887730139.0,,2856048500735.0,1295900316472.0,,,2024.0,CFS,유통/소비재,250000.0,22.161155925893095,일반,20.4177545691906,384384.97703840054,0.5375399081536022,230332.68929503913,-0.07866924281984347,⚠️ 주의
000990,DB하이텍,KOSPI,3832754202800,160843,5520.0,5520.0,1131167709804.0,386836726833.0,190838683363.0,229385888355.0,2396851168578.0,1194370198832.0,316866668877.0,2396851168578.0,2000688804317.0,2024.0,CFS,IT/전자,83400.0,15.108695652173912,일반,47.67864352038757,188086.61229075177,1.255235159361532,263186.1122325394,2.1557087797666594,🔥 강력
010060,OCI홀딩스,KOSPI,3790057096000,148896,5077.0,5077.0,3577383349000.0,461046358000.0,101527729000.0,113723638000.0,8093654722000.0,4763348250000.0,1901359096000.0,3258113380000.0,4835541342000.0,2024.0,CFS,지주,177600.0,34.98128816230057,일반,25.620485024187783,172991.98018118602,-0.025946057538366984,130075.20246780137,-0.26759458069931663,— 고평가
012510,더존비즈온,KOSPI,3626102026000,172291,2170.0,2170.0,402332391243.0,183993970188.0,88064046059.0,78026871531.0,1037613249183.0,215914131430.0,204315065486.0,482789066484.0,554824182699.0,2024.0,CFS,IT/전자,118600.0,54.654377880184335,일반,47.67864352038757,73939.84577371945,-0.3765611654829726,103462.65643924102,-0.12763358820201498,— 고평가
036460,한국가스공사,KOSPI,3480200100000,261285,13174.0,12422.0,84454000000.0,3412673000000.0,3003363000000.0,1148985000000.0,57669637000000.0,16968511000000.0,21266507000000.0,57669637000000.0,10826356000000.0,2024.0,CFS,에너지/화학,35950.0,2.7288598755123727,일반,21.64492968101053,448886.4185359355,11.486409416854952,285150.3036176327,6.931858236929978,🔥 강력
011780,금호석유화학,KOSPI,3433586769800,106368,13423.0,,7155003786012.0,585555234194.0,272804307588.0,348602013402.0,8340238952259.0,2710939308766.0,1534476881893.0,2298015880753.0,6042223071506.0,2024.0,CFS,에너지/화학,127400.0,9.491171869179766,일반,21.64492968101053,457370.7602860075,2.590037364882319,290539.8911082044,1.280532897238653,🔥 강력
014680,한솔케미칼,KOSPI,3342837330000,140955,10980.0,10912.0,776356975793.0,204763800102.0,128825376120.0,124893890949.0,1464678817159.0,348048080154.0,272370414176.0,1464678817159.0,1071443703044.0,2024.0,CFS,에너지/화학,279000.0,25.40983606557377,일반,21.64492968101053,374128.80488269107,0.34096345836089986,237661.32789749562,-0.1481672835215211,⚠️ 주의
004170,신세계,KOSPI,3317942264000,136378,11776.0,11776.0,6570412728809.0,4052715965832.0,477024306786.0,186608863964.0,15071774121951.0,2342662811362.0,4947367431132.0,15071774121951.0,6374698444225.0,2024.0,CFS,유통/소비재,320500.0,27.216372282608695,일반,20.4177545691906,401251.4395536038,0.25195456959002754,240439.4778067885,-0.24979882119566774,⚠️ 주의
097950,CJ제일제당,KOSPI,3191487432000,635134,9294.0,9294.0,29359081823000.0,6491694900000.0,1553017638000.0,361835555000.0,30149997467000.0,8546271600000.0,9956782579000.0,17907211781000.0,12242785686000.0,2024.0,CFS,유통/소비재,217500.0,23.402194964493223,일반,20.4177545691906,316680.61134605925,0.4560028107864793,189762.61096605743,-0.1275282254434141,⚠️ 주의
051600,한전KPS,KOSPI,3037500000000,159218,3832.0,3832.0,1557085808533.0,295354975574.0,209498645768.0,172441205945.0,1690214811558.0,1051206546951.0,347424669408.0,1690214811558.0,1328473540425.0,2024.0,CFS,소재/철강,62000.0,16.17954070981211,일반,60.75709779179811,130570.27143082624,1.105972119852036,232821.19873817035,2.7551806248091992,🔥 강력
005850,에스엘,KOSPI,2930901612000,125521,7998.0,7998.0,4973273970111.0,688696386608.0,395164287548.0,381963573388.0,3698864220516.0,2346052089698.0,1142207374201.0,1301616145058.0,2397248075458.0,2024.0,CFS,자동차/부품,59700.0,7.464366091522881,일반,8.09921390982161,272521.14585170883,3.5648433140989755,64777.51285075324,0.08505046651177961,🔥 강력
028670,팬오션,KOSPI,2849255498960,122737,502.0,502.0,5161218000000.0,582734000000.0,471180000000.0,268143000000.0,10271506000000.0,2021806000000.0,1276861000000.0,10271506000000.0,5653383000000.0,2024.0,CFS,운송/물류,5040.0,10.0398406374502,일반,9.53266022607123,17104.978146731413,2.393844870383217,4785.395433487757,-0.05051677906988945,⚠️ 주의
112610,씨에스윈드,KOSPI,2787529738300,670340,3434.0,3409.0,3072529196695.0,404441400056.0,255481950329.0,143668438531.0,3609483010970.0,1828066183450.0,1480639888675.0,3609483010970.0,1200264992078.0,2024.0,CFS,에너지/화학,61400.0,17.88002329644729,일반,21.64492968101053,117008.95409536986,0.9056832914555352,74328.68852459016,0.2105649596838789,🔥 강력
071970,HD현대마린엔진,KOSPI,2727288198000,406046,2464.0,2464.0,315793988713.0,69600469181.0,33193655658.0,75775091634.0,494962962578.0,293886545654.0,180908739583.0,185588379579.0,309374582999.0,2024.0,CFS,방산/중공업,75200.0,30.51948051948052,일반,42.05529677716929,83957.50229790079,0.11645614757846798,103624.25125894512,0.37798206461363193,🔥 강력
006360,GS건설,KOSPI,2721491382000,120030,2893.0,2893.0,12863811468386.0,1114179838862.0,285954335787.0,263924031753.0,17803293924556.0,8666549605548.0,9031905115658.0,17803293924556.0,5087123959443.0,2024.0,CFS,건설/부동산,28200.0,9.747666781887315,일반,26.209021212548798,98575.10314441031,2.4955710334897274,75822.69836790368,1.6887481690745985,🔥 강력
008930,한미사이언스,KOSPI,2629655097500,161426,878.0,878.0,,,98867912225.0,56693106363.0,1349078932369.0,327964548355.0,468827139886.0,1349078932369.0,838703712282.0,2024.0,CFS,바이오/제약,36700.0,41.7995444191344,일반,84.8314606741573,29916.674925956533,-0.18483174588674298,74482.02247191011,1.0294829011419648,⚠️ 주의
