Code,Name,Market,Marcap,corp_code,stock_code
006280,녹십자,KOSPI,1716752432200,00129679,006280
007070,GS리테일,KOSPI,1709771636750,00140177,007070
032350,롯데관광개발,KOSPI,1703471543600,00231372,032350
003530,한화투자증권,KOSPI,1699218378000,00148610,003530
000250,삼천당제약,KOSDAQ,21275927104000,00128546,000250
086520,에코프로,KOSDAQ GLOBAL,20488621336800,00536541,086520
196170,알테오젠,KOSDAQ GLOBAL,18924213500500,00989619,196170
247540,에코프로비엠,KOSDAQ GLOBAL,18773660284600,01160363,247540
277810,레인보우로보틱스,KOSDAQ,12784506422000,01261644,277810
298380,에이비엘바이오,KOSDAQ,10665611701500,01256864,298380
058470,리노공업,KOSDAQ GLOBAL,8512863645000,00369657,058470
950160,코오롱티슈진,KOSDAQ,8175772097000,01245062,950160
087010,펩트론,KOSDAQ,8067803100000,00415868,087010
141080,리가켐바이오,KOSDAQ GLOBAL,7798001994000,00842619,141080
028300,HLB,KOSDAQ,6882174956800,00199252,028300
240810,원익IPS,KOSDAQ GLOBAL,6135487625000,01135941,240810
214370,케어젠,KOSDAQ,6016080000000,00549891,214370
310210,보로노이,KOSDAQ,5968697564500,01327746,310210
039030,이오테크닉스,KOSDAQ GLOBAL,5291246725000,00246417,039030
095340,ISC,KOSDAQ GLOBAL,5235673326000,00572905,095340
032820,우리기술,KOSDAQ,4802001134800,00231044,032820
403870,HPSP,KOSDAQ GLOBAL,4213760000000,01288827,403870
108490,로보티즈,KOSDAQ,3824362008000,00946030,108490
226950,올릭스,KOSDAQ,3773489132700,01113718,226950
0009K0,에임드바이오,KOSDAQ,3576315203300,01781999,0009K0
214150,클래시스,KOSDAQ GLOBAL,3483584190600,01061327,214150
347850,디앤디파마텍,KOSDAQ,3400117083000,01376715,347850
083650,비에이치아이,KOSDAQ,3388409062500,00409788,083650
036930,주성엔지니어링,KOSDAQ GLOBAL,3383825608800,00252135,036930
214450,파마리서치,KOSDAQ GLOBAL,3376635600000,00970453,214450
357780,솔브레인,KOSDAQ GLOBAL,3329226248000,01489648,357780
