Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div
017670,SK텔레콤,KOSPI,16925456176400,00159023,,,17940609000000.0,,1823409000000.0,1387095000000.0,30515255000000.0,7476682000000.0,9224278000000.0,18687621000000.0,11827634000000.0,2024,CFS
030200,KT,KOSPI,15297716279500,00190321,1908.0,1906.0,,,809471000000.0,417094000000.0,41879957000000.0,14251937000000.0,13874734000000.0,23883408000000.0,17996549000000.0,2024,CFS
352820,하이브,KOSPI,14815339024000,01204056,,,2255648536000.0,959808137000.0,184045287000.0,-3431847000.0,5479186860000.0,1787698519000.0,830931772000.0,1965408202000.0,,2024,CFS
003550,LG,KOSPI,14728161367500,00120021,,,,1428702000000.0,966842000000.0,790478000000.0,31639273000000.0,5064132000000.0,2244807000000.0,3506640000000.0,28132633000000.0,2024,CFS
079550,LIG넥스원,KOSPI,14542000000000,00503668,10173.0,,3276339508425.0,452627287247.0,229779392271.0,216648719554.0,6125264653217.0,3894568274428.0,4616518043951.0,6125264653217.0,1237435235062.0,2024,CFS
0126Z0,삼성에피스홀딩스,KOSPI,13735443048000,01965324,,,,,,,,,,,,,
047050,포스코인터내셔널,KOSPI,13546054676000,00124504,3019.0,3019.0,32340793124000.0,1895983188000.0,1116921237000.0,503409725000.0,,8268175054000.0,6659697291000.0,,7349462921000.0,2024,CFS
278470,에이피알,KOSPI,13459016722500,01190568,2875.0,2819.0,722753862301.0,543599699569.0,122705544449.0,107590435967.0,565143563187.0,286027445388.0,145136758580.0,241619489197.0,323524073990.0,2024,CFS
071050,한국금융지주,KOSPI,13067745124000,00432102,,,,,1199724124887.0,1045868641939.0,109220199166181.0,,,99485650231644.0,9734548934537.0,2024,CFS
005830,DB손해보험,KOSPI,12953992800000,00159102,30838.0,,,,2424925603957.0,1853216681744.0,66506135383633.0,,,66506135383633.0,9391221934664.0,2024,CFS
005940,NH투자증권,KOSPI,12685859536400,00120182,,,,,901069000000.0,686638000000.0,62427065000000.0,,,62427065000000.0,8119369000000.0,2024,CFS
010950,S-Oil,KOSPI,12586756145600,00138279,-1659.0,-1659.0,36637031000000.0,1225859000000.0,422177000000.0,-193042000000.0,24451433000000.0,10048039000000.0,11656683000000.0,15755786000000.0,8695647000000.0,2024,CFS
018260,삼성에스디에스,KOSPI,12581630280000,00126186,9787.0,9787.0,13828232033800.0,2012332154316.0,911096907001.0,789501325293.0,13238330251696.0,9003786950710.0,2495408581399.0,3532880772221.0,9705449479475.0,2024,CFS
039490,키움증권,KOSPI,12485143693500,00296290,29370.0,29370.0,,,,,,23283474367.0,,,,2024,CFS
323410,카카오뱅크,KOSPI,11973802818700,01133217,924.0,923.0,,,606880000000.0,440065000000.0,62805282000000.0,,,56265151000000.0,6540131000000.0,2024,OFS
307950,현대오토에버,KOSPI,11806024251000,00362441,,,3713617277000.0,394510685000.0,224434118000.0,175182500000.0,,2215496769000.0,1242253167000.0,,,2024,CFS
