Code,Name,Market,EPS,price,PER,fair_price,gap
139130,iM금융지주,KOSPI,1121.0,17240,15.379125780553078,21766.69212026534,0.26256914850727026
457190,이수스페셜티케미컬,KOSPI,358.0,91200,254.7486033519553,6951.361087471,-0.9237789354443969
336260,두산퓨얼셀,KOSPI,-128.0,41900,-327.34375,-2485.4028469170057,-1.0593174903798808
071970,HD현대마린엔진,KOSPI,2464.0,80400,32.62987012987013,47844.00480315236,-0.40492531339362736
006360,GS건설,KOSPI,2893.0,31800,10.992049775319737,56173.987782272634,0.7664776032161206
279570,케이뱅크,KOSPI,341.0,6600,19.35483870967742,6621.268521864836,0.003222503312853901
008930,한미사이언스,KOSPI,878.0,38450,43.792710706150345,17048.310153071336,-0.5566109192959341
026960,동서,KOSPI,1594.0,26200,16.4366373902133,30951.032328013338,0.18133711175623426
000120,CJ대한통운,KOSPI,12088.0,113800,9.41429516876241,234715.23135572474,1.0625240013684072
017960,한국카본,KOSPI,413.0,49800,120.58111380145279,8019.307623255651,-0.8389697264406496
003690,코리안리,KOSPI,1556.0,13170,8.46401028277635,30213.17835783485,1.294090991483284
204320,HL만도,KOSPI,2767.0,53900,19.479580773400794,53727.41935483871,-0.003201867257166753
004800,효성,KOSPI,7510.0,150300,20.013315579227697,145823.24515895869,-0.029785461350906952
030000,제일기획,KOSPI,2049.0,21300,10.395314787701318,39785.86276041363,0.8678808807705928
005440,현대지에프홀딩스,KOSPI,4483.0,15630,3.4865045728306936,87047.35127131981,4.569248321901459
018670,SK가스,KOSPI,19926.0,260000,13.048278630934458,386907.32130990823,0.4881050819611855
383220,F&F,KOSPI,9504.0,62700,6.597222222222222,184541.16138358766,1.9432402134543487
001430,세아베스틸지주,KOSPI,564.0,66200,117.37588652482269,10951.306294228056,-0.8345724124738965
081660,미스토홀딩스,KOSPI,1417.0,44550,31.439661256175018,27514.186203760913,-0.3823976160771961
007340,DN오토모티브,KOSPI,6222.0,39750,6.388621022179364,120813.87901185632,2.0393428682228003
004370,농심,KOSPI,27202.0,380500,13.987942063083597,528186.9393893467,0.38813913111523457
023590,다우기술,KOSPI,8246.0,50900,6.172689788988601,160114.3115287315,2.145664273648949
192820,코스맥스,KOSPI,7562.0,196100,25.93229304416821,146832.94006551872,-0.2512343698851672
002790,아모레퍼시픽홀딩스,KOSPI,2786.0,28200,10.122038765254846,54096.34633992795,0.9183101538981543
475150,SK이터닉스,KOSPI,677.0,59900,88.47858197932054,13145.450995021976,-0.7805433890647415
000500,가온전선,KOSPI,3270.0,114500,35.015290519877674,63494.27585483288,-0.4454648396957827
361610,SK아이이테크놀로지,KOSPI,-3460.0,22200,-6.416184971098266,-67183.54570572531,-4.026285842600239
161890,한국콜마,KOSPI,3830.0,76700,20.026109660574413,74367.91331009478,-0.030405302345570012
073240,금호타이어,KOSPI,1131.0,6240,5.517241379310345,21960.86421768073,2.519369265653963
462870,시프트업,KOSPI,2734.0,30350,11.100950987564008,53086.65143336792,0.7491483174091572
006280,녹십자,KOSPI,-2303.0,146900,-63.786365610073815,-44717.834034764564,-1.3044100342734142
000250,삼천당제약,KOSDAQ,-474.0,907000,-1913.5021097046413,-9203.757417489536,-1.0101474723456334
196170,알테오젠,KOSDAQ GLOBAL,1172.0,353500,301.6211604095563,22756.969817083835,-0.9356238477593102
277810,레인보우로보틱스,KOSDAQ,110.0,659000,5990.909090909091,2135.893071569302,-0.9967588876000466
058470,리노공업,KOSDAQ GLOBAL,7463.0,111700,14.96717137880209,144910.63630110637,0.29731993107525845
087010,펩트론,KOSDAQ,-1061.0,346000,-326.10744580584355,-20601.659535772993,-1.0595423686004999
141080,리가켐바이오,KOSDAQ GLOBAL,227.0,213000,938.3259911894273,4407.706611329378,-0.9793065417308481
028300,HLB,KOSDAQ,-704.0,51700,-73.4375,-13669.715658043531,-1.2644045581826602
214370,케어젠,KOSDAQ,658.0,112000,170.2127659574468,12776.524009932733,-0.8859238927684577
